Point                                  Deflection
0                                     0.0
0.125                                -0.000116781
0.25                                -0.000231131
0.375                                -0.000340662
0.5                                -0.00044307
0.625                                -0.000536179
0.75                                -0.000617981
0.875                                -0.000686682
1                                -0.000740741
1.125                                -0.000778914
1.25                                -0.000800295
1.375                                -0.000804363
1.5                                -0.000791016
1.625                                -0.000760622
1.75                                -0.000714055
1.875                                -0.000652743
2                                -0.000578704
2.125                                -0.000494594
2.25                                -0.000403748
2.375                                -0.000310218
2.5                                -0.000218823
2.625                                -0.000135184
2.75                                -6.57714e-005
2.875                                -1.7946e-005
3                                     0.0

Point                                  Moment(N.m)
0                                40.6901
0.125                                9320.75
0.25                                18478.7
0.375                                27311.2
0.5                                35655.4
0.625                                43348.5
0.75                                50227.9
0.875                                56130.6
1                                60894.1
1.125                                64355.5
1.25                                66352
1.375                                66720.9
1.5                                65299.5
1.625                                61924.9
1.75                                56434.5
1.875                                48665.4
2                                38454.9
2.125                                25640.2
2.25                                10058.6
2.375                                -8452.69
2.5                                -30056.4
2.625                                -54915.4
2.75                                -83192.3
2.875                                -115050
3                                -148739

Point                                  Shear(N)
3                                74728.7
0.125                                73752.2
0.25                                71961.8
0.375                                68706.6
0.5                                64149.3
0.625                                58289.9
0.75                                51128.5
0.875                                42664.9
1                                32899.3
1.125                                21831.6
1.25                                9461.81
1.375                                -4210.07
1.5                                -19184
1.625                                -35460.1
1.75                                -53038.2
1.875                                -71918.4
2                                -92100.7
2.125                                -113585
2.25                                -136372
2.375                                -160460
2.5                                -185851
2.625                                -212543
2.75                                -240538
2.875                                -262187
3                                -276834
